q	Intensity
[nm-1]	[a.u.]
4.0107	1.11092e-005
4.018	1.09925e-005
4.01803	1.09915e-005
4.0254	1.1966e-005
4.03276	1.26792e-005
4.0328	1.26808e-005
4.0401	1.21424e-005
4.04012	1.21432e-005
4.04748	1.20875e-005
4.0475	1.20871e-005
4.0548	1.10274e-005
4.05484	1.10237e-005
4.0622	1.05367e-005
4.06956	1.08987e-005
4.0696	1.09014e-005
4.0769	1.10226e-005
4.07692	1.10226e-005
4.08429	1.06925e-005
4.0843	1.06916e-005
4.0916	1.02045e-005
4.09165	1.02035e-005
4.099	1.00997e-005
4.09901	1.00997e-005
4.10637	1.01832e-005
4.1064	1.01854e-005
4.1137	1.04126e-005
4.11373	1.04102e-005
4.12109	9.91782e-006
4.1211	9.91667e-006
4.1284	1.013e-005
4.12845	1.01311e-005
4.1358	1.0028e-005
4.13581	1.00268e-005
4.14317	9.31867e-006
4.1432	9.31613e-006
4.1505	9.27753e-006
4.15053	9.27795e-006
4.15789	9.33457e-006
4.1579	9.33503e-006
4.1652	9.7885e-006
4.16525	9.79063e-006
4.1726	9.748e-006
4.17996	1.00847e-005
4.18	1.00876e-005
4.1873	1.07394e-005
4.18732	1.07397e-005
4.19468	1.05686e-005
4.1947	1.05685e-005
4.202	1.02477e-005
