 17-Feb-2013       (cy_0036.dat - 1.0*Aver(cy_0035.dat,cy_0037.dat) /  2.6100 
 cy_0036.dat  Conc = .26E+01  N1 =    1  N2 = 1639
 cy_0035.dat  Conc = 0.0d+0   N1 =    1  N2 = 1639
 cy_0037.dat  Conc = 0.0d+0   N1 =    1  N2 = 1639
  0.100960E+01  0.349159E+03  0.766782E+01
  0.101225E+01  0.339017E+03  0.765717E+01
  0.101490E+01  0.358462E+03  0.763041E+01
  0.101756E+01  0.371678E+03  0.777934E+01
  0.102021E+01  0.349299E+03  0.760926E+01
  0.102286E+01  0.354230E+03  0.760257E+01
  0.102551E+01  0.339747E+03  0.759045E+01
  0.102817E+01  0.354636E+03  0.759373E+01
  0.103082E+01  0.327709E+03  0.759786E+01
  0.103347E+01  0.337573E+03  0.750980E+01
  0.103612E+01  0.348770E+03  0.762001E+01
  0.103877E+01  0.337602E+03  0.751013E+01
  0.104143E+01  0.338100E+03  0.745284E+01
  0.104408E+01  0.341079E+03  0.757501E+01
  0.104673E+01  0.330684E+03  0.744362E+01
  0.104938E+01  0.329144E+03  0.754168E+01
  0.105203E+01  0.342119E+03  0.743155E+01
  0.105469E+01  0.328534E+03  0.739762E+01
  0.105734E+01  0.330705E+03  0.753679E+01
  0.105999E+01  0.318795E+03  0.740889E+01
  0.106264E+01  0.317906E+03  0.751119E+01
  0.106530E+01  0.325297E+03  0.732317E+01
  0.106795E+01  0.333105E+03  0.741854E+01
  0.107060E+01  0.329109E+03  0.746509E+01
  0.107325E+01  0.331155E+03  0.739851E+01
  0.107590E+01  0.331690E+03  0.744441E+01
  0.107856E+01  0.321833E+03  0.734460E+01
  0.108121E+01  0.321841E+03  0.741595E+01
  0.108386E+01  0.306159E+03  0.737020E+01
  0.108651E+01  0.317448E+03  0.729414E+01
  0.108917E+01  0.328073E+03  0.743221E+01
  0.109182E+01  0.314226E+03  0.728767E+01
  0.109447E+01  0.317642E+03  0.739740E+01
  0.109712E+01  0.301561E+03  0.732088E+01
  0.109977E+01  0.303253E+03  0.724780E+01
  0.110243E+01  0.307929E+03  0.730360E+01
  0.110508E+01  0.298295E+03  0.728838E+01
  0.110773E+01  0.308010E+03  0.729180E+01
  0.111038E+01  0.296603E+03  0.717030E+01
  0.111303E+01  0.304236E+03  0.730525E+01
  0.111569E+01  0.307918E+03  0.729510E+01
  0.111834E+01  0.293310E+03  0.727016E+01
  0.112099E+01  0.296077E+03  0.715092E+01
  0.112364E+01  0.299400E+03  0.721960E+01
  0.112630E+01  0.296784E+03  0.719522E+01
  0.112895E+01  0.299841E+03  0.719892E+01
  0.113160E+01  0.295492E+03  0.716989E+01
  0.113425E+01  0.289521E+03  0.708819E+01
  0.113690E+01  0.284102E+03  0.718440E+01
  0.113956E+01  0.289262E+03  0.716238E+01
  0.114221E+01  0.272377E+03  0.710746E+01
  0.114486E+01  0.272352E+03  0.706557E+01
  0.114751E+01  0.276845E+03  0.710390E+01
  0.115017E+01  0.274540E+03  0.716140E+01
  0.115282E+01  0.271393E+03  0.709947E+01
  0.115547E+01  0.281408E+03  0.698920E+01
  0.115812E+01  0.280640E+03  0.709920E+01
  0.116077E+01  0.283927E+03  0.697826E+01
  0.116343E+01  0.285885E+03  0.711744E+01
  0.116608E+01  0.277301E+03  0.708814E+01
  0.116873E+01  0.270692E+03  0.693216E+01
  0.117138E+01  0.273077E+03  0.701830E+01
  0.117404E+01  0.266278E+03  0.689395E+01
  0.117669E+01  0.264590E+03  0.700089E+01
  0.117934E+01  0.263895E+03  0.692885E+01
  0.118199E+01  0.265732E+03  0.701649E+01
  0.118464E+01  0.260751E+03  0.699204E+01
  0.118730E+01  0.260747E+03  0.681776E+01
  0.118995E+01  0.259626E+03  0.699538E+01
  0.119260E+01  0.255833E+03  0.689242E+01
  0.119525E+01  0.256149E+03  0.690694E+01
  0.119790E+01  0.255328E+03  0.697096E+01
  0.120056E+01  0.253770E+03  0.677904E+01
  0.120586E+01  0.255854E+03  0.686034E+01
  0.120851E+01  0.255220E+03  0.684619E+01
  0.121117E+01  0.269195E+03  0.693091E+01
  0.121382E+01  0.247904E+03  0.683291E+01
  0.121647E+01  0.265404E+03  0.678843E+01
  0.121912E+01  0.247820E+03  0.693456E+01
  0.122177E+01  0.265190E+03  0.679843E+01
  0.122443E+01  0.238303E+03  0.679643E+01
  0.122708E+01  0.250607E+03  0.695692E+01
  0.122973E+01  0.247241E+03  0.697844E+01
  0.123238E+01  0.239749E+03  0.711861E+01
  0.123504E+01  0.252307E+03  0.704001E+01
  0.123769E+01  0.249816E+03  0.713859E+01
  0.124034E+01  0.233707E+03  0.705322E+01
  0.124299E+01  0.237121E+03  0.715818E+01
  0.124564E+01  0.237243E+03  0.714610E+01
  0.124830E+01  0.242006E+03  0.713547E+01
  0.125095E+01  0.231713E+03  0.729675E+01
  0.125360E+01  0.243205E+03  0.721063E+01
  0.125625E+01  0.233416E+03  0.720559E+01
  0.125890E+01  0.235958E+03  0.719681E+01
  0.126156E+01  0.230167E+03  0.725593E+01
  0.126421E+01  0.224557E+03  0.734533E+01
  0.126686E+01  0.223718E+03  0.727516E+01
  0.126951E+01  0.238328E+03  0.722792E+01
  0.127217E+01  0.225690E+03  0.713958E+01
  0.127482E+01  0.236674E+03  0.714336E+01
  0.127747E+01  0.239561E+03  0.712961E+01
  0.128012E+01  0.213272E+03  0.689746E+01
  0.128277E+01  0.211128E+03  0.696626E+01
  0.128543E+01  0.222845E+03  0.687825E+01
  0.128808E+01  0.214912E+03  0.696605E+01
  0.129073E+01  0.221732E+03  0.690017E+01
  0.129338E+01  0.216174E+03  0.681816E+01
  0.129604E+01  0.214657E+03  0.684040E+01
  0.129869E+01  0.208866E+03  0.678820E+01
  0.130134E+01  0.208920E+03  0.687507E+01
  0.130399E+01  0.214102E+03  0.665126E+01
  0.130664E+01  0.201203E+03  0.674070E+01
  0.130930E+01  0.196199E+03  0.680196E+01
  0.131195E+01  0.209253E+03  0.675375E+01
  0.131460E+01  0.199628E+03  0.671803E+01
  0.131725E+01  0.201937E+03  0.665515E+01
  0.131990E+01  0.201446E+03  0.669701E+01
  0.132256E+01  0.197073E+03  0.670888E+01
  0.132521E+01  0.207626E+03  0.660251E+01
  0.132786E+01  0.208190E+03  0.670550E+01
  0.133051E+01  0.199912E+03  0.657383E+01
  0.133317E+01  0.194075E+03  0.662683E+01
  0.133582E+01  0.201123E+03  0.658939E+01
  0.133847E+01  0.186726E+03  0.654270E+01
  0.134112E+01  0.197285E+03  0.665352E+01
